BUILDING CLASS CATEGORY,count,avg_price,median_price,avg_gross_sqft,avg_units
25 LUXURY HOTELS,8,142377525.0,133917650.0,176351.875,107.75
11A CONDO-RENTALS,4,56673185.25,32148370.5,53965.0,55.25
31 COMMERCIAL VACANT LAND,2,41825000.0,41825000.0,6095.0,6.5
21 OFFICE BUILDINGS,225,39050651.84888889,2600000.0,57242.77777777778,5.466666666666667
34 THEATRES,4,23937500.0,29250000.0,34022.5,5.0
08 RENTALS - ELEVATOR APARTMENTS,207,23704283.898550726,14200000.0,83090.2657004831,87.7487922705314
26 OTHER HOTELS,96,14535937.927083334,53910.0,105354.69791666667,19.989583333333332
23 LOFT BUILDINGS,22,14109376.272727273,9374578.0,37337.22727272727,7.2272727272727275
38 ASYLUMS AND HOMES,13,13518314.615384616,5016310.0,40227.307692307695,34.15384615384615
32 HOSPITAL AND HEALTH FACILITIES,28,12983431.464285715,5028750.0,53395.57142857143,8.214285714285714
41 TAX CLASS 4 - OTHER,12,10536532.0,1050000.0,4540.083333333333,1.0833333333333333
35 INDOOR PUBLIC AND CULTURAL FACILITIES,16,8763659.5,1125000.0,12032.5,1.3125
40 SELECTED GOVERNMENTAL FACILITIES,2,8000000.5,8000000.5,34843.5,1.0
27 FACTORIES,106,7586415.933962264,2750000.0,23486.669811320753,1.8584905660377358
30 WAREHOUSES,166,5462665.933734939,2164500.0,18665.668674698794,1.391566265060241
37 RELIGIOUS FACILITIES,55,5028112.2727272725,1600000.0,12552.690909090908,1.2727272727272727
36 OUTDOOR RECREATIONAL FACILITIES,1,5000000.0,5000000.0,27400.0,1.0
33 EDUCATIONAL FACILITIES,27,4683930.037037037,1400000.0,19012.62962962963,84.92592592592592
22 STORE BUILDINGS,489,3979297.793456033,1615000.0,12666.515337423312,3.357873210633947
29 COMMERCIAL GARAGES,164,3365286.1463414636,1369000.0,7065.548780487805,1.4268292682926829
07 RENTALS - WALKUP APARTMENTS,1800,3331154.0555555555,1550000.0,8459.43,11.466666666666667
14 RENTALS - 4-10 UNIT,334,2419442.371257485,1384250.0,4624.083832335329,5.302395209580839
09 COOPS - WALKUP APARTMENTS,11,1889600.7272727273,227500.0,40368.36363636364,50.45454545454545
03 THREE FAMILY DWELLINGS,2402,967985.8438801,775000.0,2892.4604496253123,2.999583680266445
10 COOPS - ELEVATOR APARTMENTS,33,892901.1818181818,195000.0,289915.3333333333,212.93939393939394
02 TWO FAMILY DWELLINGS,10098,780534.3368983957,650000.0,2151.0778371954843,2.0441671618142205
05 TAX CLASS 1 VACANT LAND,12,767020.1666666666,589245.0,3048.3333333333335,2.0
01 ONE FAMILY DWELLINGS,12929,654041.4823265527,500000.0,1551.6292056616908,1.0193363755897595
06 TAX CLASS 1 - OTHER,9,512204.44444444444,252000.0,809.5555555555555,1.2222222222222223
