NEIGHBORHOOD,count,avg_price,median_price,avg_gross_sqft,avg_land_sqft,avg_units
MIDTOWN CBD,9,310240777.7777778,90000000.0,250604.77777777778,14439.0,12.0
FINANCIAL,11,239222666.54545453,100107200.0,445325.2727272727,18572.363636363636,110.0909090909091
FASHION,14,100757129.92857143,52500000.0,144819.7857142857,8459.57142857143,52.07142857142857
KIPS BAY,12,81316666.66666667,13850000.0,98360.58333333333,16735.416666666668,121.25
TRIBECA,3,72555000.0,90000000.0,84229.0,9033.333333333334,11.0
DOWNTOWN-METROTECH,12,59022271.583333336,52292477.5,146872.25,15074.666666666666,2.75
JAVITS CENTER,9,56841111.11111111,7950000.0,75857.11111111111,10289.888888888889,5.555555555555555
DOWNTOWN-FULTON MALL,9,37372949.55555555,11100000.0,41123.333333333336,12120.0,3.3333333333333335
CIVIC CENTER,7,31567857.14285714,15000000.0,17078.285714285714,3543.1428571428573,8.0
GREENWICH VILLAGE-CENTRAL,23,26856239.52173913,11800000.0,23858.91304347826,4298.130434782609,13.956521739130435
DOWNTOWN-FULTON FERRY,3,24590417.333333332,5976252.0,17040.666666666668,8609.0,1.3333333333333333
ROOSEVELT ISLAND,1,23296741.0,23296741.0,38428.0,23774.0,52.0
FLATIRON,9,23222298.222222224,6625000.0,47976.77777777778,4477.333333333333,11.555555555555555
CHELSEA,42,20916470.14285714,8125000.0,19501.428571428572,3895.714285714286,8.047619047619047
SOHO,21,20036632.19047619,12000000.0,56977.42857142857,6877.666666666667,8.047619047619047
SOUTHBRIDGE,1,19000000.0,19000000.0,31073.0,3480.0,13.0
GREENWICH VILLAGE-WEST,41,15940164.292682927,9600000.0,12071.390243902439,2773.7804878048782,10.414634146341463
LITTLE ITALY,4,14800000.0,13100000.0,15797.5,3143.25,15.25
MURRAY HILL,26,14775581.538461538,7175000.0,20519.576923076922,2915.8846153846152,12.153846153846153
UPPER EAST SIDE (59-79),60,13360598.15,9575000.0,19473.666666666668,3441.116666666667,17.883333333333333
UPPER WEST SIDE (79-96),36,12946832.222222222,6225000.0,36222.416666666664,4216.666666666667,21.083333333333332
UPPER WEST SIDE (59-79),21,12901404.0,5700000.0,44933.19047619047,4763.952380952381,29.047619047619047
LOWER EAST SIDE,27,12699000.0,9200000.0,12536.962962962964,2642.4814814814813,11.25925925925926
UPPER WEST SIDE (96-116),13,12666000.76923077,5243000.0,19841.923076923078,3256.769230769231,20.076923076923077
GRAMERCY,15,12509648.933333334,8700000.0,9922.933333333332,2356.266666666667,8.2
WASHINGTON HEIGHTS LOWER,33,11285392.666666666,9850000.0,30772.0,7307.969696969697,31.060606060606062
EAST RIVER,1,11200000.0,11200000.0,20000.0,77835.0,1.0
WILLIAMSBURG-NORTH,35,10668885.142857144,3600000.0,10045.885714285714,5012.8,7.571428571428571
UPPER EAST SIDE (79-96),54,10537361.666666666,7382453.5,13561.777777777777,2982.6111111111113,15.185185185185185
MIDTOWN EAST,17,10102235.294117646,5500000.0,9178.117647058823,2823.705882352941,13.058823529411764
WASHINGTON HEIGHTS UPPER,22,10091682.727272727,7300000.0,24994.136363636364,6451.045454545455,27.772727272727273
MIDTOWN WEST,89,9596384.932584269,49900.0,90076.50561797753,6681.831460674157,5.584269662921348
BROOKLYN HEIGHTS,37,9305730.054054054,5400000.0,11017.0,4598.486486486487,5.5675675675675675
INWOOD,18,8773819.055555556,3160000.0,19484.444444444445,8283.444444444445,22.77777777777778
CLINTON,13,8710632.615384616,8010000.0,7979.615384615385,3266.4615384615386,8.0
LONG ISLAND CITY,90,8610240.711111112,1895500.0,18338.18888888889,10069.211111111112,3.577777777777778
MANHATTAN VALLEY,17,8311675.588235294,7150000.0,25501.882352941175,5756.294117647059,38.1764705882353
EAST VILLAGE,16,8224475.5,6354000.0,9537.5625,2758.0625,16.875
CHINATOWN,10,7323001.0,5565000.0,11217.5,2560.1,8.6
ALPHABET CITY,11,7200101.090909091,6625000.0,7817.363636363636,2461.7272727272725,9.363636363636363
UPPER EAST SIDE (96-110),4,7110954.0,8280800.0,26756.5,6528.25,31.75
WILLIAMSBURG-SOUTH,34,6642030.588235294,2850000.0,12894.64705882353,3637.823529411765,9.970588235294118
HARLEM-EAST,98,5775328.285714285,4436785.0,13598.397959183674,3807.2551020408164,19.0
HARLEM-CENTRAL,136,4772778.25,2345000.0,35172.92647058824,11315.279411764706,41.97794117647059
HARLEM-WEST,10,4743790.0,2855000.0,17885.9,5297.9,18.2
PARK SLOPE,125,4329912.424,3250000.0,5520.656,2721.696,4.496
BOERUM HILL,68,3855792.5,3082500.0,4505.544117647059,2160.029411764706,3.3088235294117645
CLINTON HILL,70,3855260.785714286,2430000.0,6187.542857142857,2830.2714285714287,6.0285714285714285
PROSPECT HEIGHTS,25,3830988.2,2465000.0,5035.08,2536.92,5.0
KINGSBRIDGE HTS/UNIV HTS,53,3765432.6603773586,470000.0,13400.716981132075,5292.037735849057,7.943396226415095
HARLEM-UPPER,50,3699355.38,2300000.0,9901.8,2860.04,7.82
COBBLE HILL,20,3665500.5,3687500.0,3598.5,1841.45,3.2
FORT GREENE,49,3486529.897959184,2250000.0,5388.0,3130.387755102041,5.204081632653061
RED HOOK,37,3061391.972972973,1700000.0,11811.162162162162,10076.72972972973,2.4054054054054053
WILLIAMSBURG-EAST,110,3002121.0,1714900.0,5587.154545454546,4501.154545454546,3.581818181818182
NEW BRIGHTON-ST. GEORGE,2,2830000.0,2830000.0,5004.0,3550.0,5.5
MOUNT HOPE/MOUNT EDEN,53,2781989.6226415094,585000.0,13074.433962264151,4639.773584905661,13.754716981132075
RIVERDALE,58,2770362.2586206896,863000.0,19962.603448275862,17394.741379310344,13.310344827586206
KENSINGTON,38,2765709.3157894737,1212500.0,16429.026315789473,4957.631578947368,14.31578947368421
MELROSE/CONCOURSE,95,2749208.2,549000.0,18550.621052631577,6054.021052631579,15.663157894736843
FIELDSTON,16,2613362.5,1901000.0,5803.875,16166.125,3.6875
CARROLL GARDENS,62,2612491.4032258065,2787500.0,3031.483870967742,1848.4193548387098,3.225806451612903
HIGHBRIDGE/MORRIS HEIGHTS,61,2585152.5409836066,520000.0,17419.491803278688,6513.540983606557,14.639344262295081
GREENPOINT,113,2539922.4336283184,1970000.0,5693.513274336283,4479.761061946902,3.52212389380531
BELMONT,47,2424734.170212766,615000.0,6316.234042553191,3029.8297872340427,7.382978723404255
FLATBUSH-LEFFERTS GARDEN,88,2259542.4431818184,1339500.0,6016.454545454545,3231.159090909091,5.693181818181818
REGO PARK,106,2230791.6886792453,870000.0,8914.754716981131,4203.61320754717,5.7924528301886795
FORDHAM,48,2152735.25,645000.0,9851.979166666666,4167.666666666667,9.270833333333334
MOTT HAVEN/PORT MORRIS,91,2107626.8791208793,750000.0,8165.714285714285,4788.3626373626375,4.384615384615385
NAVY YARD,22,2080607.5909090908,2144162.5,3288.7272727272725,1567.9545454545455,1.3636363636363635
COBBLE HILL-WEST,18,2023380.6666666667,2295000.0,3471.9444444444443,2124.777777777778,3.611111111111111
WILLIAMSBURG-CENTRAL,21,2004453.3333333333,1200000.0,3704.0476190476193,2358.4285714285716,3.380952380952381
GOWANUS,61,1978049.31147541,1500000.0,2890.9180327868853,3016.032786885246,2.4262295081967213
ASTORIA,324,1950097.1944444445,1173250.0,3967.0555555555557,3009.3456790123455,3.7901234567901234
ELMHURST,242,1907942.1033057852,880000.0,5041.252066115702,3216.413223140496,4.805785123966942
PARK SLOPE SOUTH,74,1849955.2567567567,1800000.0,2519.337837837838,1791.162162162162,2.7567567567567566
SUNSET PARK,219,1772183.3515981736,1180000.0,3332.365296803653,2371.27397260274,3.34703196347032
BUSH TERMINAL,23,1759413.043478261,950000.0,4715.086956521739,3056.478260869565,2.5652173913043477
FLATBUSH-CENTRAL,240,1720334.9583333333,995000.0,5381.2125,3682.9,4.975
WOODSIDE,91,1566900.8901098901,950000.0,3936.3516483516482,2797.802197802198,3.89010989010989
WINDSOR TERRACE,49,1561744.3469387756,1540000.0,2058.4285714285716,1914.3877551020407,1.836734693877551
KINGSBRIDGE/JEROME PARK,64,1545507.03125,571000.0,8811.0625,4854.703125,9.078125
OCEAN PARKWAY-NORTH,201,1545380.5024875621,1080000.0,3014.283582089552,3217.0248756218907,2.308457711442786
BOROUGH PARK,386,1525386.8031088084,1201000.0,3451.2849740932643,2696.8652849740934,2.849740932642487
SUNNYSIDE,106,1520542.3679245282,911250.0,4292.669811320755,4096.584905660377,4.811320754716981
CROWN HEIGHTS,308,1503361.3246753246,1087515.0,4181.724025974026,2562.896103896104,3.7824675324675323
HOLLISWOOD,45,1484239.9555555556,875000.0,3932.6222222222223,7475.4,3.1333333333333333
BEDFORD STUYVESANT,623,1452582.9951845906,1230000.0,3483.112359550562,2175.7881219903693,3.2808988764044944
MIDWOOD,183,1415299.3387978142,1100000.0,2890.48087431694,3329.3497267759562,1.8579234972677596
JACKSON HEIGHTS,238,1412815.0672268907,775000.0,5657.94537815126,3317.890756302521,5.676470588235294
HUNTS POINT,42,1404918.619047619,540500.0,14710.714285714286,27643.261904761905,3.5238095238095237
SHEEPSHEAD BAY,269,1379320.2750929368,795000.0,4783.167286245353,3861.029739776952,3.929368029739777
WYCKOFF HEIGHTS,45,1361087.7777777778,1250000.0,4001.488888888889,2707.822222222222,3.6666666666666665
OCEAN PARKWAY-SOUTH,127,1342592.9606299212,980000.0,2351.212598425197,2750.0393700787404,1.8976377952755905
